BRAND  ,PRODUCT  ,PRODUCT TYPE  ,WEIGHT  ,EXT1  ,EXT2  ,  ITEM CODE,ITEM NAME  ,PRODUCT TYPECODE  ,MFR. NAME  ,ALIAS NAME  ,ITEM SHORT NAME  ,UPC/EAN CODE  ,  SELLING,  MRP,  PUR.PRICE,  LANDING COST,  DECIMALS REQUIRED,  ITEM DISCOUNT %,INCLUSIVE TAX  ,  SALES TAX%,  PURCHASE TAX%,  COST WITHOUT TAX,MAIN DISTRIBUTOR NAME  ,ACTIVITY STATUS  ,  SPL RATE,IS WEIGHTABLE  ,  GST CODE,GST%  ,HSN CODE  ,PURCHASE GST CALC ON  ,  PURCHASE ABATEMENT %,SALES GST CALC ON  ,  SALES ABATEMENT %,DIST GST NO  ,APPLY SELLING RATE FROM MASTER  ,GIFT VOUCHER TYPE  ,INDENT/REORDER GENERATIONTYPE  ,INDENT/REORDER FORMULA  ,CONVERSION ALLOWED  ,  MINIMUM SHELF LIFE,RETURN PERIOD DAYS  ,IS CANCELLABLE?  ,VAT UOM  ,COMMODITY DESCRIPTION  ,  COMMODITY CODE,SALETAX EXEMPT APPLICABLE  
ASHAPURA  ,SOYABIN  ,GROCERY  ,250G  ,0  ,0  ,  2136,SOYABIN BIJ 250G  ,1  ,NA  ,  ,SOYABIN BIJ 250G  ,  ,25.0,40.0,  15.11,  15.11,0.0,0.0,YES  ,0.,0.0,  15.11,NA  ,REGULAR  ,0.0,No  ,  5001,GST 0% Tax  ,  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  6,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,SOYABIN  ,GROCERY  ,500 G  ,0  ,0  ,  2135,SOYABIN BIJ 500G  ,1  ,NA  ,  ,SOYABIN BIJ 500G  ,  ,50.0,70.0,  30.22,  30.22,0.0,0.0,YES  ,0.,0.0,  30.22,NA  ,REGULAR  ,0.0,No  ,  5001,GST 0% Tax  ,  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  6,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,SOYABIN  ,GROCERY  ,0  ,0  ,0  ,  2060,SOYABIN BIJ BULK  ,1  ,NA  ,  ,SOYABIN BIJ BULK  ,  ,80.0,120.0,60.0,  59.53,3.0,0.0,YES  ,0.,0.0,  59.53,SUPERKING AGENCY  ,REGULAR  ,0.0,Yes  ,  5001,GST 0% Tax  ,071300  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24ACUFS2212C1ZE  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPI  ,TIPIN  ,COSMETICS  ,0  ,0  ,0  ,  3709,SPI GAME TIFIN BOX 1PC RS60  ,1  ,NA  ,  ,SPI GAME TIFIN BOX 1PC RS60  ,  ,40.0,80.0,29.0,29.0,0.0,0.0,YES  ,0.,0.0,29.0,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,96031000  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPI  ,TIPIN  ,COSMETICS  ,0  ,0  ,0  ,  3368,SPI TIPIN BOX 1PC RS70  ,1  ,NA  ,  ,SPI TIPIN BOX 1PC RS70  ,  ,70.0,100.0,45.0,45.0,0.0,0.0,YES  ,0.,0.0,45.0,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,96031000  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPI  ,TIPIN  ,COSMETICS  ,0  ,0  ,0  ,  3369,SPI TIPIN BOX 1PC RS90  ,1  ,NA  ,  ,SPI TIPIN BOX 1PC RS90  ,  ,90.0,150.0,55.0,55.0,0.0,0.0,YES  ,0.,0.0,55.0,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,96031000  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPOON  ,STEEL  ,PLASTIC  ,0  ,0  ,0  ,  5653,SPOON PLASTIC 100P RS.30  ,1  ,NA  ,  ,SPOON PLASTIC 100P RS.30  ,  ,60.0,100.0,15.0,15.0,0.0,0.0,YES  ,0.,0.0,15.0,NA  ,REGULAR  ,0.0,No  ,  5001,GST 0% Tax  ,  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPOON  ,STEEL  ,PLASTIC  ,0  ,0  ,0  ,  4219,SPOON PLASTIC 100PC  ,1  ,NA  ,  ,SPOON PLASTIC 100PC  ,  ,30.0,60.0,18.0,18.0,0.0,0.0,YES  ,0.,0.0,18.0,NA  ,REGULAR  ,0.0,No  ,  5001,GST 0% Tax  ,  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPOON  ,STEEL  ,PLASTIC  ,0  ,0  ,0  ,  5240,SPOON PLASTIC 50PCS  ,1  ,NA  ,  ,SPOON PLASTIC 50PCS  ,  ,60.0,80.0,35.0,35.0,0.0,0.0,YES  ,0.,0.0,35.0,NA  ,REGULAR  ,0.0,No  ,  5001,GST 0% Tax  ,  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPOON  ,STEEL  ,PLASTIC  ,0  ,0  ,0  ,  4220,SPOON PLASTIC BEST 100PC RS.40  ,1  ,NA  ,  ,SPOON PLASTIC BEST 100PC RS.40  ,  ,40.0,60.0,28.0,28.0,0.0,0.0,YES  ,0.,0.0,28.0,NA  ,REGULAR  ,0.0,No  ,  5001,GST 0% Tax  ,  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
SPOON  ,STEEL  ,PLASTIC  ,0  ,0  ,0  ,  3322,SPOON STAINLESS 6PC  ,1  ,NA  ,  ,SPOON STAINLESS 6PC  ,  ,90.0,200.0,45.0,45.0,0.0,0.0,YES  ,0.,0.0,45.0,NA  ,REGULAR  ,0.0,No  ,  5001,GST 0% Tax  ,  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,KANGGI  ,COSMETICS  ,0  ,0  ,0  ,  5862,SPRAY BOTTAL 1PC  ,1  ,NA  ,  ,SPRAY BOTTAL 1PC  ,  ,30.0,60.0,22.0,22.0,0.0,0.0,YES  ,0.,0.0,22.0,MAA UMA TRADING  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,360340  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24GZZPK1508P1ZJ  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
